"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","19","31","16","2","0","118.75","6","caught","2","v India","Kingston","26 Jun 2009"
"2","DNB","-","-","-","-","-","-","-","2","v India","Kingston","28 Jun 2009"
"3","21","16","15","3","0","140.00","6","bowled","1","v India","Gros Islet","3 Jul 2009"
"4","DNB","-","-","-","-","-","-","-","1","v India","Gros Islet","5 Jul 2009"
"5","14","46","35","1","0","40.00","3","stumped","2","v Zimbabwe","Kingstown","14 Mar 2010"
"6","74","-","75","6","2","98.66","3","bowled","1","v Canada","Kingston","13 Apr 2010"
"7","28*","-","36","0","2","77.77","6","not out","2","v Ireland","Kingston","15 Apr 2010"
"8","1","3","6","0","0","16.66","4","lbw","2","v South Africa","Roseau","28 May 2010"
"9","45*","-","31","3","1","145.16","5","not out","1","v South Africa","Roseau","30 May 2010"
"10","17","-","47","0","0","36.17","4","caught","1","v South Africa","Port of Spain","3 Jun 2010"
"11","8","46","22","0","0","36.36","3","run out","1","v Sri Lanka","Colombo (SSC)","31 Jan 2011"
"12","39","79","64","0","3","60.93","3","lbw","1","v Sri Lanka","Colombo (SSC)","3 Feb 2011"
"13","79","130","91","9","1","86.81","3","lbw","2","v Sri Lanka","Colombo (SSC)","6 Feb 2011"
"14","73","96","82","8","1","89.02","3","lbw","1","v South Africa","Delhi","24 Feb 2011"
"15","30","42","38","1","2","78.94","3","caught","1","v Netherlands","Delhi","28 Feb 2011"
"16","9*","20","26","1","0","34.61","3","not out","2","v Bangladesh","Dhaka","4 Mar 2011"
"17","0","2","3","0","0","0.00","3","bowled","1","v Ireland","Mohali","11 Mar 2011"
"18","5","15","15","1","0","33.33","4","caught","2","v England","Chennai","17 Mar 2011"
"19","22","35","29","1","1","75.86","3","caught","2","v India","Chennai","20 Mar 2011"
"20","0","2","3","0","0","0.00","4","lbw","1","v Pakistan","Dhaka","23 Mar 2011"
"21","67","153","109","1","1","61.46","3","run out","1","v Pakistan","Gros Islet","23 Apr 2011"
"22","12","27","18","2","0","66.66","3","caught","1","v Pakistan","Gros Islet","25 Apr 2011"
"23","47","94","77","3","1","61.03","3","lbw","1","v Pakistan","Bridgetown","28 Apr 2011"
"24","21","39","26","3","0","80.76","3","caught","2","v Pakistan","Bridgetown","2 May 2011"
"25","DNB","-","-","-","-","-","-","-","2","v Pakistan","Providence","5 May 2011"
"26","4","6","8","1","0","50.00","3","caught","1","v India","Port of Spain","6 Jun 2011"
"27","15","53","36","2","0","41.66","4","caught","1","v India","North Sound","13 Jun 2011"
"28","86","131","99","3","6","86.86","4","stumped","2","v India","Kingston","16 Jun 2011"
"29","20","34","19","2","0","105.26","4","bowled","1","v Bangladesh","Dhaka","13 Oct 2011"
"30","1*","21","12","0","0","8.33","4","not out","2","v Bangladesh","Dhaka","15 Oct 2011"
"31","0","10","3","0","0","0.00","4","caught","1","v Bangladesh","Chittagong","18 Oct 2011"
"32","60","107","74","6","0","81.08","4","bowled","1","v India","Cuttack","29 Nov 2011"
"33","13","30","17","2","0","76.47","4","caught","1","v India","Visakhapatnam","2 Dec 2011"
"34","26*","48","41","2","0","63.41","4","retired notout","1","v India","Ahmedabad","5 Dec 2011"
"35","4","20","15","1","0","26.66","4","run out","2","v Australia","Kingstown","16 Mar 2012"
"36","16","36","28","3","0","57.14","4","bowled","2","v Australia","Kingstown","18 Mar 2012"
"37","0","3","3","0","0","0.00","4","caught","2","v Australia","Kingstown","20 Mar 2012"
"38","25","62","50","3","0","50.00","4","caught","1","v Australia","Gros Islet","23 Mar 2012"
"39","3","42","21","0","0","14.28","4","caught","2","v Australia","Gros Islet","25 Mar 2012"
"40","8*","21","13","1","0","61.53","9","not out","2","v England","Southampton","16 Jun 2012"
"41","35","59","41","4","1","85.36","3","run out","1","v Bangladesh","Khulna","30 Nov 2012"
"42","28","69","41","3","0","68.29","3","caught","2","v Bangladesh","Khulna","2 Dec 2012"
"43","13","25","23","2","0","56.52","4","caught","2","v Bangladesh","Dhaka","5 Dec 2012"
"44","34","93","61","3","0","55.73","5","caught","1","v Bangladesh","Dhaka","7 Dec 2012"
"45","51","-","108","3","1","47.22","4","caught","1","v Bangladesh","Dhaka","8 Dec 2012"
"46","11","41","25","1","0","44.00","4","caught","1","v Australia","Perth","1 Feb 2013"
"47","14","26","20","3","0","70.00","4","lbw","2","v Australia","Perth","3 Feb 2013"
"48","86","115","96","7","1","89.58","3","bowled","2","v Australia","Canberra","6 Feb 2013"
"49","4","18","16","1","0","25.00","3","caught","1","v Australia","Sydney","8 Feb 2013"
"50","33","87","50","3","0","66.00","3","caught","2","v Australia","Melbourne","10 Feb 2013"
"51","100*","97","71","9","4","140.84","3","not out","1","v Zimbabwe","St George's","22 Feb 2013"
"52","0","2","2","0","0","0.00","3","caught","2","v Zimbabwe","St George's","24 Feb 2013"
"53","72*","137","103","5","0","69.90","3","not out","2","v Zimbabwe","St George's","26 Feb 2013"
"54","0","8","4","0","0","0.00","3","caught","2","v Pakistan","The Oval","7 Jun 2013"
"55","35","108","83","2","0","42.16","3","stumped","1","v India","The Oval","11 Jun 2013"
"56","12","12","7","2","0","171.42","5","run out","2","v South Africa","Cardiff","14 Jun 2013"
"57","27","48","30","4","0","90.00","3","run out","2","v Sri Lanka","Kingston","28 Jun 2013"
"58","55","95","78","5","1","70.51","5","caught","2","v India","Kingston","30 Jun 2013"
"59","1","11","7","0","0","14.28","3","caught","2","v India","Port of Spain","5 Jul 2013"
"60","70","135","84","4","1","83.33","5","caught","2","v Sri Lanka","Port of Spain","7 Jul 2013"
"61","5","17","18","1","0","27.77","3","caught","2","v Pakistan","Providence","14 Jul 2013"
"62","54","139","81","6","0","66.66","3","bowled","1","v Pakistan","Providence","16 Jul 2013"
"63","17","65","40","2","0","42.50","3","caught","2","v Pakistan","Gros Islet","19 Jul 2013"
"64","9","33","18","1","0","50.00","3","caught","1","v Pakistan","Gros Islet","21 Jul 2013"
"65","9","29","21","1","0","42.85","3","caught","1","v Pakistan","Gros Islet","24 Jul 2013"
"66","59","95","77","4","2","76.62","4","bowled","1","v India","Kochi","21 Nov 2013"
"67","50","71","54","8","0","92.59","4","caught","2","v India","Visakhapatnam","24 Nov 2013"
"68","51*","87","53","4","2","96.22","4","not out","1","v India","Kanpur","27 Nov 2013"
"69","14","27","18","3","0","77.77","3","caught","2","v New Zealand","Auckland","26 Dec 2013"
"70","1","-","9","0","0","11.11","4","caught","2","v Ireland","Kingston","23 Feb 2014"
"71","2","20","12","0","0","16.66","4","lbw","1","v England","North Sound","28 Feb 2014"
"72","13","56","34","0","1","38.23","4","bowled","1","v England","North Sound","2 Mar 2014"
"73","16","22","20","3","0","80.00","3","caught","2","v England","North Sound","5 Mar 2014"
"74","7","19","14","1","0","50.00","3","caught","2","v Bangladesh","St George's","20 Aug 2014"
"75","53","118","82","2","1","64.63","3","lbw","1","v Bangladesh","St George's","22 Aug 2014"
